No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil
40,Annual,425845,177785,51.498413,-1.62907,0.9560867,0.95559746,0.9781923,0.979848245,0.98868054,0.9630153,0.9044521,0.87330574,0.9620164,0.964078741,0.9552807,0.887711,2.085323112,1.430224045,283.4221576,8.146276078,0.006670139,3.57681094,99585.69107,321.0483747,120.5927805,145.401825,4.977367401,2.900009155,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,23.26764567,63.91252609,51,0,Chalk,loam,loam
41,Annual,413670,155000,51.293964,-1.805328,0.75679135,0.70966446,0.8994787,0.910565049,1.1064008,0.74926376,0.7175522,0.6026442,0.8903571,0.896267785,1.0200799,0.61859995,2.065060243,1.424075134,283.8368797,8.146276078,0.006819661,3.602016673,100314.2531,322.8489577,119.2308011,91.65601349,1.219533682,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,17.86687235,38.70026976,51,0,Chalk,loam,clay loam
43,Annual,448976,432699,53.7883,-1.258096,0.13311392,0.6963093,0.7734155,0.81075554,0.9921177,1.2020581,0.3921687,0.7849915,0.807824,0.83592072,0.99290764,1.0961643,1.782858708,1.463109762,283.2326318,7.170043959,0.00649442,4.384559272,101020.3054,321.1436988,117.522461,32.67578125,1.742551088,18.59999847,22,42,36,1.399999976,25,41,34,1.379999995,260,0.01,1.035799115,209.830765,501,0,Magnesian Limestone,loam,loam
44,Annual,410831,173495,51.460324,-1.845486,0.94844115,0.9447371,0.97415906,0.973238522,0.9985896,0.9511714,0.92658454,0.8430764,0.9719576,0.972702342,1.0160506,0.8464391,2.090032861,1.414637589,283.3713217,8.146276078,0.006671166,3.622997394,99463.05551,320.9927486,119.8312534,169.6733551,2.168588877,0,19,37,44,1.409999967,0,0,0,0,550,0.015,16.68386135,55.30039445,51,0,Chalk,loam,
47,Multiannual,353845,323455,52.806649,-2.686111,0.5191487,0.79636204,0.8118249,0.846188761,0.9959362,0.92227143,-3.2012887,0.2974828,0.6148361,0.530011812,0.9926519,1.587482,1.978641838,1.470433681,283.2644253,7.561281574,0.006596053,4.522811254,99995.14311,322.4232399,119.1296246,109.8624115,2.851191759,21.8999939,9,78,13,1.600000024,23,64,13,1.429999948,33,0.01,0.746485285,58.38724439,1001,0,Permian Sandstone,sandy loam,sandy clay loam
56,Annual,453385,171915,51.443713,-1.233251,0.8071017,0.8264281,0.89931613,0.896723568,1.0005463,0.85861623,0.7346196,0.8402558,0.92708564,0.939500604,0.975347,1.1399807,1.904435923,1.445932033,283.8928053,8.427272862,0.006793639,3.504383624,100541.3867,322.6904051,120.256108,75.01563263,1.732971549,7.099998474,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,20.96205399,285.8142319,51,0,Chalk,clay,clay
58,Multiannual,551843,166864,51.380518,0.180509,0.5083492,0.8127879,0.8132194,0.784632754,0.9959359,1.0120373,0.7085499,0.6967411,0.85113937,0.807100121,0.9993653,0.7357927,1.80520263,1.486567394,283.8676973,8.545290384,0.006793129,4.29217972,100310.4435,320.8698561,119.2385405,99.65593719,2.191395521,36.89999771,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,14.00146388,790.3823844,1,0,Lower Greensand,loam,loam
63,Annual,448505,129295,51.060948,-1.309225,0.6418879,0.7430726,0.8021367,0.878821685,0.9973121,0.8361287,0.5779318,0.68130827,0.76969147,0.832460513,0.98989207,0.77995735,2.334118291,1.492894216,284.2321417,8.427272862,0.006940891,3.478965306,101053.1699,323.5752847,125.3829818,36.06915283,0.886274159,2.700000763,19,37,44,1.409999967,0,0,0,0,550,0.015,39.7843388,577.4225931,1,1324.546875,Chalk,loam,
67,Annual,442090,472497,54.14657,-1.357128,0.6867711,0.8528552,0.8969357,0.898093633,1.0378361,1.0979723,0.38974684,0.67103827,0.8197865,0.798332953,0.9702689,1.2736022,1.848138005,1.447844086,283.1568835,7.298685801,0.006463241,4.36136628,100999.2444,320.699201,116.6318292,18.49160576,3.662299156,3.700000763,10,76,14,1.580000043,26,60,14,1.409999967,33,0.01,0.143062262,65.31352166,251,0,Triassic Sandstone,sandy loam,sandy clay loam
75,Multiannual,383541,264701,52.280196,-2.242666,0.7775887,0.79676306,0.8935143,0.90344031,1.0285785,0.82926893,0.4188643,0.57026845,0.65930057,0.67448846,1.0159842,0.7385862,1.860624318,1.509949268,283.7021859,7.772891658,0.006731617,4.473324615,100513.8787,323.9325984,120.3383844,66.90311432,4.698286533,22.70000076,19,45,36,1.419999957,27,39,34,1.360000014,33,0.01,2.762280056,125.1209151,1001,0,Triassic Sandstone,loam,loam
