No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2928,Multiannual,346525,564265,54.970103,-2.836846,0.6981944,0.8264873,0.84136283,0.811069276,1.0027677,0.9297666,-0.87075806,0.29527342,0.81788385,0.789964466,1.036397,1.6798263
2935,Annual,547228,104307,50.819595,0.08875,0.64476067,0.71017706,0.8175038,0.81090665,0.99712956,0.7748691,0.68516254,0.632797,0.85746163,0.879861062,0.99829954,0.6615957
2939,Decadal,441120,474034,54.160461,-1.371767,0.81544757,0.7876513,0.9109879,0.900428485,0.9935344,0.8073181,-0.47133636,0.8572133,0.8825378,0.888547354,0.9448778,1.0596049
2944,Annual,589652,278116,52.368252,0.784264,0.36103362,0.3538695,0.6345717,0.63352074,1.0137635,0.46731234,0.3654433,0.35978132,0.67506397,0.661437248,1.0236716,0.4488784
2949,Annual,628804,144041,51.149863,1.270187,0.81027484,0.9061333,0.90678936,0.919734475,1.0079575,0.9922944,0.4886461,0.84414166,0.89056754,0.934337588,1.0716668,0.91526616
2955,Annual,537638,103235,50.812318,-0.047708,0.56561184,0.5988753,0.7832476,0.742304113,0.9965313,0.66249883,0.72755,0.7134874,0.86785793,0.82946419,1.0013517,0.7457844
2961,Decadal,493825,104015,50.828077,-0.669176,0.86584055,0.8188821,0.937543,0.929917067,1.0057786,0.83009124,-4.9247236,0.67152023,0.74023235,0.777264914,1.2008617,0.99137825
2966,Multiannual,486427,194964,51.646835,-0.752269,0.8382537,0.7655664,0.928761,0.924361818,1.0180507,0.77738416,0.3888957,0.68421376,0.7170017,0.714200268,1.0853883,0.8889082
2985,Annual,447250,162670,51.361136,-1.322746,0.8076368,0.76414573,0.90869844,0.891398683,0.9961889,0.78256804,-0.53658664,0.37258077,0.6443856,0.615309826,1.0598359,0.48656765
2986,Multiannual,507720,217690,51.847418,-0.437603,0.94209677,0.92924404,0.97132933,0.969738481,1.0025244,0.9353626,0.41586137,0.65273887,0.70997417,0.809423135,1.0550514,0.81712145
2988,Annual,394264,648285,55.727919,-2.092885,0.87967855,0.87166905,0.93956774,0.946760171,1.0026772,0.8868221,0.6861195,0.7811461,0.8334037,0.852052281,0.9877572,0.8586057
2990,Multiannual,553400,154009,51.264596,0.197336,0.9008613,0.897534,0.95065343,0.937140992,0.9988662,0.9102071,0.40009564,0.63259053,0.7418157,0.755617762,0.99213195,0.73871815
2992,Annual,407395,168005,51.411015,-1.895055,0.94981253,0.93537164,0.97525996,0.976620779,1.0032791,0.94038475,0.9418802,0.93280226,0.9731331,0.96989674,1.0177678,0.9410255
3000,Annual,443511,464268,54.072499,-1.336556,0.758296,0.7552949,0.87621105,0.889229076,1.0793332,0.80439126,0.7099494,0.51205254,0.8915462,0.931840946,1.4438142,0.8286355
3009,Multiannual,398825,316625,52.747234,-2.018838,0.7968913,0.7954533,0.89880013,0.884907028,1.0055944,0.82233065,-0.99509645,0.15977156,0.1606844,0.264557928,0.9730214,0.9716226
3024,Annual,577067,271693,52.314776,0.596242,0.893382,0.948276,0.94863594,0.949765794,1.0031136,1.0052397,0.52557564,0.74618065,0.7552705,0.797207737,1.0051873,0.93288624
3026,Annual,374412,257253,52.212887,-2.375908,0.8096091,0.79927015,0.9041625,0.921456146,0.9971874,0.8236493,0.7884456,0.7872804,0.89272505,0.872657966,0.9968117,0.81633896
3029,Annual,450027,460361,54.036798,-1.237632,0.6903796,0.68032783,0.841036,0.851337555,1.1088669,0.74491477,0.33474386,-0.71779597,0.75340474,0.780301123,2.6626887,0.6456378
3030,Multiannual,620681,151935,51.223925,1.159078,0.5777794,0.74335265,0.849382,0.903757914,0.9948501,0.7922617,0.54890203,0.5127136,0.77060795,0.795309826,0.9990622,0.57008624
3031,Multiannual,468545,395125,53.448428,-0.969371,0.80705494,0.8139242,0.90124524,0.897236131,1.0024025,0.8423124,-0.08056867,0.51821434,0.5310929,0.279865249,1.0127828,0.89009434
3032,Multiannual,361505,325605,52.826578,-2.572741,0.8661454,0.8414093,0.9341279,0.929952214,0.9973432,0.8557629,0.37810743,0.53822035,0.8093056,0.848470123,0.92889386,0.5854894
3033,Annual,572680,284406,52.430351,0.538492,-0.47421312,0.27012932,0.27083406,0.288966592,1.0165131,0.97251916,-0.95219755,0.057914317,0.058121413,0.024925289,0.98172456,0.9925126
3063,Annual,503278,431204,53.76694,-0.434627,0.8342625,0.74427336,0.93028206,0.936986874,1.0030009,0.75398016,0.84292877,0.7389999,0.9391884,0.953248105,0.9869923,0.7465184
