No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
1384,Annual,500050,174076,FALSE,-144.79897,-0.63297796,0.53059524,0.610726873,2.3134677,1.8491731,2.061384628,0.226147632
1386,Decadal,547246,173338,TRUE,-9.415904,-0.65453124,0.5853653,0.510919551,0.92029476,2.5997665,4.60670438,0.153784395
1388,Annual,591599,341350,FALSE,-1221.901,-0.14581573,0.4821506,0.490223831,0.13233261,0.45974216,36.82640666,0.914015167
1393,Annual,545455,381985,FALSE,-308.3527,-0.8068309,0.5487864,0.536024009,2.01092,2.4279723,6.135425214,0.355078531
1420,Annual,406000,137004,TRUE,-1225.1355,-6.3065457,0.6756492,0.697619656,7.477114,4.365646,1.493775857,0.277920099
1437,Multiannual,341957,356451,TRUE,-287.8328,-0.15589046,0.1370681,0.09860844,0.4928711,1.5781481,16.49589872,0.494859931
1440,Annual,396629,102247,TRUE,-8.769445,0.05782032,0.3735091,0.313487713,0.53134704,0.4750468,23.81127882,3.740866694
1443,Annual,551861,103777,TRUE,-80.90946,-0.92170584,0.78405786,0.798800191,0.7698827,2.895622,28.57808355,0.749121404
1452,Annual,418290,136086,TRUE,-15994.955,-17.885223,0.8108485,0.769081242,19.599548,4.267002,1.565837453,0.230362034
1458,Multiannual,472475,183405,TRUE,-1217.5244,-0.350783,-0.12177745,-0.156508775,0.24994774,0.9395717,61.51928129,1.323007524
1461,Annual,587342,278990,TRUE,-431.60538,0.24578387,0.59929353,0.687156888,0.37321958,1.1241894,21.4259125,0.646352168
1465,Annual,548195,155345,TRUE,-6769.0684,-11.653783,0.13003257,0.148679751,6.1900525,12.507686,2.171011775,0.138528809
1466,Annual,553475,373645,FALSE,-103.38056,-0.8255514,0.53067636,0.497699346,2.7163727,1.4079803,1.568019195,0.265320628
1470,Decadal,508045,413785,FALSE,-0.2585814,0.6174239,0.6272477,0.645022202,0.9430327,0.9353869,17.84662733,1.362154725
1491,Annual,629110,140204,TRUE,-14.0716,0.46988082,0.65063876,0.639945725,1.381987,0.88572407,40.84597592,4.10600388
1501,Annual,505012,466985,TRUE,-20.073084,0.31732476,0.48508298,0.475401452,1.4482244,1.0009762,28.52215623,2.855646991
1536,Annual,507345,305125,FALSE,-15.667799,0.49051315,0.61410314,0.541611976,0.72100866,0.81882674,8.866930476,0.618391016
1559,Annual,449255,128455,TRUE,0.45360655,0.5501154,0.71276873,0.695720014,0.9354041,0.65982205,2.428662992,0.690434159
1563,Annual,549501,100648,TRUE,-13721.24,-2.6772432,0.22636665,0.177211115,0.24930455,4.515704,45.39945294,0.291144366
1565,Annual,412060,117120,TRUE,-274.91718,-5.5667243,0.907339,0.904790735,7.449984,2.2292788,0.79571781,0.310061605
1570,Annual,502455,109865,TRUE,-2035.2721,-0.34772944,0.44361866,0.400867723,0.36771113,2.0521598,20.62634691,0.289255677
1608,Annual,443955,152555,TRUE,-47.229008,0.262281,0.5033499,0.495372644,0.47619194,1.1522933,40.12054382,3.063424967
1609,Annual,498295,341675,TRUE,-5027.948,-5.4068317,0.36756366,0.421584377,1.6486319,7.3424892,26.96994419,0.247906674
1633,Annual,431755,135155,TRUE,-263.46603,0.20188284,0.75604874,0.765002411,0.24241598,0.94045895,33.89406238,1.580336256
1638,Annual,635152,155598,FALSE,-486.30365,-5.1197658,0.5989647,0.645019544,6.202685,4.1973352,0.973659331,0.232742866
1640,Annual,515985,406085,FALSE,-15.91717,0.11285406,0.27301303,0.1692762,1.4088842,0.6977891,38.13888631,3.921794271
