No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
2992,Annual,407395,168005,51.411015,-1.895055,0.9332459,0.91380215,0.9680571,0.969073982,1.0132198,0.9210384,0.89348745,0.8819554,0.9536269,0.953591996,1.0312358,0.8960368
3000,Annual,443511,464268,54.072499,-1.336556,0.72297746,0.76652956,0.8508291,0.857329132,0.9963369,0.8204391,0.67801356,0.48588312,0.87985516,0.925322102,1.48354,0.87320197
3009,Multiannual,398825,316625,52.747234,-2.018838,0.7488606,0.7480062,0.8716568,0.856443709,1.0043586,0.78318316,-1.2178442,0.15449792,0.1551672,0.251634651,0.9680207,1.0104219
3024,Annual,577067,271693,52.314776,0.596242,0.73789215,0.78202283,0.9092691,0.914294598,1.0039755,1.1981614,-0.048739433,0.6425525,0.70433414,0.723404247,1.0246167,1.1993654
3026,Annual,374412,257253,52.212887,-2.375908,0.7798722,0.81857455,0.8844658,0.906120918,0.9968169,0.86015445,0.72262377,0.7956681,0.8501872,0.83663395,0.99946123,0.8610497
3029,Annual,450027,460361,54.036798,-1.237632,0.6494864,0.7102798,0.8180674,0.82860408,1.169238,0.8510116,0.42958856,-0.26006353,0.746453,0.781525925,2.1723256,0.6137625
3030,Multiannual,620681,151935,51.223925,1.159078,0.37108117,0.6614134,0.7093605,0.764215818,0.99527043,0.8263715,0.4824171,0.5368843,0.7004505,0.691548663,0.9990036,0.6468079
3031,Multiannual,468545,395125,53.448428,-0.969371,0.7006469,0.71604353,0.84324586,0.845769646,1.003678,0.7632615,-0.14963138,0.5748497,0.57557935,0.352486756,1.0148937,0.980054
3032,Multiannual,361505,325605,52.826578,-2.572741,0.7965119,0.82831913,0.8950192,0.881834575,0.99090755,0.8644632,0.3172146,0.5561411,0.8047217,0.849896286,0.9192697,0.6096684
3033,Annual,572680,284406,52.430351,0.538492,-0.44628417,0.2302633,0.23392832,0.216663515,1.0105251,0.92572343,-1.1146727,0.06025654,0.061881088,0.034348264,0.9642506,0.9579055
3063,Annual,503278,431204,53.76694,-0.434627,0.81315875,0.76178455,0.912403,0.927574144,0.9870522,0.7788552,0.7510921,0.7646507,0.94259393,0.958304736,0.90183514,0.79394984
3064,Annual,457872,439356,53.847214,-1.121835,0.6375991,0.7988579,0.839466,0.864565103,1.0337565,0.88361007,0.22384101,0.7669368,0.85675627,0.880171429,1.1025476,0.84741324
3104,Annual,492475,451495,53.951285,-0.592358,0.70670235,0.7601823,0.8740269,0.92631636,0.98534304,0.79646045,0.6633411,0.675053,0.8198056,0.838043193,0.99840903,0.72959685
3115,Annual,446892,467067,54.097357,-1.28446,0.67904776,0.74766445,0.84344256,0.845261619,1.0397129,0.8061311,0.68630207,0.6102769,0.89363897,0.885895099,0.95611566,0.62765014
3129,Annual,445931,461686,54.049085,-1.299967,0.6537583,0.53671527,0.84068936,0.879824128,1.3881944,0.8036313,0.68039054,0.12047362,0.91764396,0.914303836,1.8713443,0.91306204
3144,Multiannual,309406,86495,50.671044,-3.283367,-0.11520171,0.47708142,0.4784239,0.496877045,0.99875844,1.0374284,-1.7857063,-0.082301974,-0.0774641,-0.075214898,1.0048479,0.89790004
3145,Multiannual,308940,84030,50.64881,-3.289353,-0.26473808,0.38244468,0.38290703,0.388112323,1.000182,1.023896,-1.540215,-0.11228025,-0.10928714,-0.106262084,1.0025803,1.0815074
3146,Annual,308466,85990,50.666357,-3.296541,0.099328995,0.5801944,0.68302643,0.681077785,1.0010154,1.2752603,-0.68454146,0.2852984,0.5652801,0.51791007,0.999969,1.5673044
3149,Decadal,462915,377375,53.289603,-1.057656,0.79914856,0.8507447,0.8949288,0.88753927,1.0011886,0.8940022,-12.231292,0.25009292,0.67437273,0.680973702,1.0255761,1.6750437
3178,Multiannual,396305,270275,52.330544,-2.055638,0.81608355,0.89569277,0.9187236,0.920387387,1.0057937,1.0651219,0.06872332,0.67082787,0.7009349,0.688835578,1.0227263,1.1356422
3179,Multiannual,396295,270265,52.330454,-2.055784,0.3740189,0.42447877,0.61886466,0.625878213,1.008906,0.5688611,-0.1930443,-0.005209446,0.10095287,0.308496761,1.0030904,0.55038905
3204,Multiannual,437735,482155,54.233702,-1.422587,0.6931413,0.88391596,0.88492185,0.86819784,0.99045515,1.0118954,-2.7659922,0.26196522,0.61169326,0.566282361,0.9612892,1.6264373
3205,Multiannual,437736,482155,54.233702,-1.422572,0.7316636,0.8676425,0.8678467,0.874041168,1.002671,0.9931565,-0.18168235,0.6793277,0.73576516,0.680079471,0.97689366,1.1802175
