No,P,PET,tas,dtr,huss,sfcWind,psurf,rlds,rsds
2340,2.064467027280106,1.414745398356132,282.67359308320573,7.708993464016892,0.006407035780323912,4.423902638349808,99507.93107448141,318.3200943417328,116.19579089324331
2342,2.496213280363395,1.4063498721247032,283.6724796621653,6.021393111541139,0.006760376094556591,3.4485872882107755,101343.29521397744,321.05332861107246,120.81087357255558
2343,1.6927792451740964,1.3787970724824077,282.7642434897211,7.308882086607266,0.006333798742916145,4.0388781379404035,101267.65256847185,320.22699942827967,112.88331106202145
2344,2.5493944033260743,1.4190599372078492,283.80296189985614,6.729059364267483,0.0069371143540025056,4.128239606946076,100991.73346893127,323.49486697572974,123.01877138396213
2353,2.180356395314859,1.357180910369937,283.0263380903986,8.220511404051232,0.006530988890788436,3.575576488839389,100143.7104485591,319.275829296023,116.03365612074806
2355,1.81168499653653,1.4175480157808646,282.4673740711866,7.343361653543089,0.0062138907236020235,4.608546506578495,100620.14454666112,319.35368055037355,112.79456017443967
2357,1.7106826288598767,1.4127169410781044,283.53616266601693,8.204714845296765,0.006636803094872151,3.6315720726446705,101323.2093203861,321.53514812891547,116.65393213408976
2361,1.7887465757123644,1.4483047775307816,282.584521067799,8.117657443036801,0.006292041392375517,4.681408304643835,100117.01139932248,318.8230658926168,114.41144465135274
2363,2.1568193397769098,1.3559522879537205,282.75960314863795,8.253918986570142,0.006469590800199545,4.394415219444057,99578.42805183533,317.0253067924266,111.84193977692702
2369,1.888013362157191,1.3554862640737242,283.41487191888257,8.0203350607592,0.006597137552763469,2.8941464100735437,101066.05969980045,321.44905398347953,117.05943692227017
2370,2.083660493395964,1.4070034114920995,283.0417981312358,8.0203350607592,0.006482705578453757,3.6699498274395563,100350.44122279456,319.7101052429347,117.58713435700034
2373,2.4349296955900743,1.4123463720087606,283.67394105109287,6.12747691606107,0.006757608551431621,3.4826006924072574,101257.31820715578,321.5353603197364,121.29840215265209
2378,2.834433149929702,1.4734859771196016,282.8852075200705,7.555482857561835,0.006544522341737435,4.610902820426934,99710.5657031881,319.67166640029694,124.18016905359877
2381,1.811494732081939,1.3885405032533618,282.91267127105664,7.555826268095967,0.006394468197999907,3.853206356438814,100639.7898550281,321.4018081688246,112.5680027824261
2385,2.250545268372156,1.429453925654838,282.4010429119681,7.6737342888579505,0.006327477226562717,4.566801712340712,99060.39706130214,318.0821286755766,117.73770221499838
2392,1.5467956733676504,1.4390507330291453,283.2988570198153,7.966193337045802,0.006518889706830944,4.078902526684579,101339.00664374219,320.53394024687924,115.40444230138289
2394,1.762156014292789,1.484032895448405,283.1457518868625,6.523908308283446,0.006582194617198014,5.446094457207759,101358.31998218015,319.5097070082138,119.2049300688663
2397,2.3101628825545033,1.4082826465786926,283.01174059074674,8.220511404051232,0.006525824292240938,3.6227003392041395,100133.41437607315,319.5388060610701,120.65123557076893
2398,1.6438674631830623,1.4114261213231103,283.25927623277187,7.708993464016892,0.0065591071459603694,3.7103730347974384,100773.16382421459,321.42066624808575,116.87190760176804
2404,1.880245020395361,1.402799005578606,283.1701072615899,7.6737342888579505,0.006553965601554596,3.7723401608042133,100510.30411680357,321.36400807322843,116.78519156675483
2406,1.7727087095464644,1.4365723436803501,283.62413971878044,6.38185531147153,0.006829249739881201,4.91011120355933,101126.76612900832,321.09855956703325,117.65376507735857
2412,2.1060698875562984,1.4162079491617143,283.4238397749315,6.38185531147153,0.006769496838168825,4.84496430300478,100722.46547825883,320.12746558216156,116.83499724657757
2415,2.3589772150621595,1.454418447395244,283.26289260058473,5.977641656759015,0.006664153168689962,4.186636571839065,100478.24690519282,318.9007629184649,123.97221137449533
2416,2.044243350975702,1.401588753010983,283.518729596269,7.3117731769409255,0.0067782640794097175,3.9474674042521696,100981.30882611722,320.4865070560119,119.44734483156991
2424,2.010237132360531,1.4265831151246666,282.2396616511207,6.532711497684348,0.006216209327945613,4.888649025223908,100053.36439602765,317.5867862982041,117.19491900860831
2425,1.680212535991027,1.4548481466702246,282.9976229676551,7.6884588732284564,0.0063953488854749645,4.732881180822776,101311.7792627964,321.20825813587635,113.09101167843055
2431,1.7026683362863624,1.5100138432200008,283.2488053023342,6.523908308283446,0.006594605529815769,5.389507080943895,101369.29678992063,319.78114608288087,120.01038592394077
2434,1.5629077887857898,1.415263878266079,283.25007035825325,7.966193337045802,0.006524079337904312,4.051864218362801,101007.66391892896,319.81532323031234,113.96075158960973
2439,1.9205670781722954,1.3920610961328417,282.75798308599,6.868870948350272,0.0063864395786022545,4.702129647687596,100371.13694538029,321.3991866963664,110.94209219420854
2444,1.8897675071402011,1.4705658606791399,283.0851332386654,7.768495065580769,0.006488963928423593,4.446981138927097,100445.25444637802,319.66880312914753,117.41597502415426
2447,2.1760777745208797,1.441330946338843,282.87281298157694,8.220511404051232,0.006482108736604946,4.347596316675019,99856.7064826674,318.67660074945474,119.59901451301684
2449,2.1413244216878247,1.432354559007005,283.18850766392876,8.220511404051232,0.006583041693702725,3.5960623856267113,100456.57413866073,320.16941410135047,122.25147523557939
2455,2.1732470165386446,1.4153233501815983,283.31519761752287,8.220511404051232,0.006624701920706297,3.5317172673651673,100684.40581818181,320.309709612511,121.26204624636874
2462,1.6911086348128055,1.4639885589161403,283.58023219870995,6.38185531147153,0.006778772112747691,4.850081513976054,101046.44567056476,320.81349161028356,118.84825134539885
2464,1.572188962829382,1.445348246612065,283.34515605132486,7.966193337045802,0.006531096588124739,4.104359679955729,101497.43617931225,320.8304024251705,115.63598228056986
2465,1.6928813393149047,1.4021895225802512,283.2557999582347,7.708993464016892,0.00656059747222145,3.700598427526567,100747.06090143393,321.3241336410042,116.17009344992806
2468,2.2411155948919252,1.399130013643107,282.8219502069702,7.947018428650982,0.0064768336713397386,3.6407866386885703,99697.85222344425,318.7368490862685,120.38926853990904
2472,2.2026265708659802,1.3464945741371077,283.66821684022455,6.021393111541139,0.006775687969293238,3.4199303986068035,101321.95494589077,320.8311814761706,116.57187827010533
2474,1.644837345507737,1.5001034100242607,283.16390091465956,7.251334176444383,0.0065195219352545365,5.095959275095828,101060.65371140193,319.3488200983804,117.73088481196343
2478,2.304858692787941,1.4449272554186565,282.7805776458304,7.947018428650982,0.006496864205680077,4.452408374520395,99514.29104413197,318.5714675803981,122.15057948489489
2481,1.7614645676043765,1.4119716275911438,282.5449834962179,7.343361653543089,0.006227407134150076,4.58379895973595,100863.56151394495,319.7502502547682,111.94071564156107
2483,1.9201076596308921,1.3957339262960267,282.5001727741427,7.724265634980741,0.006320709387210543,4.664651212385725,99604.3687990162,319.73533761195415,111.88162966655065
2486,2.3628845880715788,1.4754319231264725,283.06326078704353,6.12747691606107,0.0066138269950716975,4.847384272629821,99983.47203471158,317.5921252893406,124.86782868868626
2491,2.0211053874763754,1.4217752410412428,283.06145166132995,8.253918986570142,0.006558623687368324,3.7237519403862365,100197.82536976194,318.40672358856557,121.30365644057729
2494,1.7024966357525209,1.4186458606564378,282.1377822423314,6.171520725425775,0.006100460007378534,5.29087741092394,100260.71580115087,317.4487671339738,111.8979297521138
2498,1.8902222832577098,1.4041628647978976,283.1607281098891,7.6737342888579505,0.0065484266244883755,3.774328672223769,100506.93886649031,321.35449044456817,116.79861633535201
2500,1.730377278140804,1.4183241298803393,282.67910955264745,6.690779161255743,0.006351448355942271,4.9605029483934295,100968.98585864773,319.4563770574041,113.95344524400203
2506,1.8709406465402159,1.4003919816504873,282.6966117207295,7.555826268095967,0.006329873936753446,4.608835103480439,100242.34609800919,320.34008171469674,109.36391776207712
2509,2.1373103154913555,1.430445835301838,282.73389976843475,7.6737342888579505,0.006426321569594876,4.560704288728014,99691.10433500393,319.56401429347073,116.65514834925055
2516,2.4755023418519944,1.32058275687843,283.3933994111096,5.778736838939162,0.00674725829154021,3.665255424409532,100757.18740498401,319.6533565719987,114.6809604351478
2519,2.1419787435924023,1.428354704121692,282.6063701907281,7.947018428650982,0.006424609230135969,4.512511456827696,99295.3593449812,318.33819354540816,119.39425186352035
2520,1.9700264501138602,1.4713460911423346,282.8119131653441,7.1741658620956885,0.0064444174029328494,5.239588118684859,100706.96117592465,318.3322462313796,118.35943861455287
2521,2.0149519691833784,1.3981197463531174,283.30571707503833,7.3117731769409255,0.006714184079400436,3.9239555511267343,100549.38221281729,319.46766374356116,120.10264947744675
2522,1.9237319577089276,1.4301917651715834,282.7350783094343,7.456531632785745,0.006389264030530419,4.7051099645955725,100180.81918390644,321.129936543227,114.7746243553065
2524,1.7415703732210273,1.4341151419579385,283.1388537922873,7.1741658620956885,0.0065368525266462476,4.503143970293053,101077.04981948118,319.36268596083346,116.08789298617106
2526,1.889846394954142,1.40444327380084,283.1680002408465,7.6737342888579505,0.0065534570267669024,3.7767565013179265,100510.12835788204,321.3825062508701,116.91971753459559
2528,1.8686667584443457,1.3862222386267005,282.9052771859483,7.555826268095967,0.006386170408051417,3.853756519247297,100677.09197085712,321.35127079075596,112.10926500969883
2531,1.7461645538375186,1.38581906738973,283.0902358392501,7.708993464016892,0.00650817760728108,3.6658510085526013,100397.48224910669,320.1929012084087,115.44220758902965
2537,2.317198014760544,1.38112137373306,283.0375053222887,5.778736838939162,0.0066775447248596225,4.3089277393841945,100037.48750684487,317.73195405865704,120.44018620697015
2538,2.4348832892827716,1.4862760140313465,283.3071209986542,6.553983945686574,0.006810207121263168,5.084614009063993,99715.87523894379,321.6669740387025,128.05571388465822
2539,1.7712608455135688,1.4268643523798752,282.7422814882361,6.690779161255743,0.006354776709406469,4.907699538508516,101058.66452062741,319.8573503828484,113.76394112703605
2540,2.1652652090258253,1.414830502925345,283.3010714279085,8.220511404051232,0.0066208634767181765,3.5335780993701333,100655.10186509816,320.25695852290124,121.23862024822498
2542,1.8855724150333455,1.3839893967423635,283.32229506055967,8.220511404051232,0.006589633246173837,3.618048161882222,100838.50851399137,320.93932621838604,115.45449615624855
2543,1.8265534373917223,1.415335870797997,282.81172560722075,7.555826268095967,0.006364087920975452,4.608779454902779,100462.89219629682,320.9385426520952,110.3639594105527
2544,1.9812891552400869,1.4761654445220007,283.1577011675716,7.367098251297044,0.006566290556591953,4.700272584880969,100576.41631839063,322.1927174151933,119.16406935523689
2545,2.384328736817035,1.4053190800106194,283.6672433444707,6.12747691606107,0.006780082168611073,3.3625710917516822,101214.28526038332,320.63439968119167,122.9863447358114
2547,1.6225207658956118,1.4424580741555784,282.8814331797299,7.1096431484662865,0.006348657750164741,4.672851745782636,101255.77112343961,321.10188083112905,112.80674885653627
2552,2.1038702476095748,1.4049025049888817,283.0399673056755,8.204714845296765,0.006527678318153976,4.30772924304376,100209.14321017216,319.0640269664486,115.24175285164046
2553,2.2611118848163727,1.388099059703444,283.0372851649729,5.977641656759015,0.006626423618450972,4.227999429632465,100047.01573325909,317.749217903383,119.98940337087566
2555,2.1527263429786823,1.3588175033990233,283.17148718455616,8.253918986570142,0.0065853417965752465,3.663695618064736,100415.31329750804,318.96648795953405,115.122103832266
2560,1.6499419898687546,1.5253527745765854,283.4090728465358,6.662480863506426,0.006627259170193512,5.278479611836744,101329.19116460161,320.0539680370319,119.54760679040791
2561,1.7736275456920982,1.3920268906646052,282.9558076365493,7.456531632785745,0.006456089701990811,3.954983167533158,100567.28805345958,322.1041548016149,114.42743824147293
